adulteration_id,product_name,brand,category,adulterant,detection_date,detection_method,severity,health_risk,action_taken
1,Butter,BrandB,Dairy,Artificial sweeteners,2024-05-11,Microbiological Analysis,Moderate,Low,Product Recall
2,Chicken,BrandC,Meat,Coloring agents,2024-05-23,Sensory Evaluation,Severe,Medium,Warning Issued
3,Yogurt,BrandC,Dairy,Artificial sweeteners,2024-02-17,Sensory Evaluation,Severe,High,Investigation Launched
4,Wine,BrandB,Beverages,Coloring agents,2024-05-16,Spectroscopy,Minor,Medium,Product Recall
5,Bread,BrandD,Bakery,Water,2024-06-06,Chemical Analysis,Severe,Medium,Warning Issued
6,Wine,BrandD,Beverages,Melamine,2024-05-12,Microbiological Analysis,Severe,Medium,Investigation Launched
7,Beef,BrandC,Meat,Melamine,2024-04-01,Chemical Analysis,Minor,Medium,Investigation Launched
8,Juice,BrandD,Beverages,Melamine,2024-03-18,Chemical Analysis,Moderate,High,Fine Imposed
9,Chicken,BrandC,Meat,Artificial sweeteners,2024-06-14,Microbiological Analysis,Minor,Low,Investigation Launched
10,Milk,BrandA,Dairy,Melamine,2024-04-23,Spectroscopy,Moderate,Medium,Fine Imposed
11,Cheese,BrandA,Dairy,Coloring agents,2024-02-25,Sensory Evaluation,Moderate,Low,Investigation Launched
12,Milk,BrandA,Dairy,Melamine,2024-03-07,Sensory Evaluation,Moderate,Low,Warning Issued
13,Bread,BrandC,Bakery,Chalk,2024-04-01,Chemical Analysis,Minor,High,Product Recall
14,Beef,BrandA,Meat,Chalk,2024-06-13,Chemical Analysis,Moderate,Medium,Warning Issued
15,Juice,BrandA,Beverages,Melamine,2024-04-13,Sensory Evaluation,Severe,Low,Investigation Launched
16,Honey,BrandB,Condiments,Melamine,2024-05-13,Spectroscopy,Minor,Medium,Investigation Launched
17,Wine,BrandE,Beverages,Melamine,2024-04-07,Chemical Analysis,Severe,Low,Product Recall
18,Yogurt,BrandB,Dairy,Chalk,2024-06-10,Spectroscopy,Moderate,High,Investigation Launched
19,Honey,BrandE,Condiments,Melamine,2024-03-03,Spectroscopy,Minor,Medium,Fine Imposed
20,Honey,BrandC,Condiments,Coloring agents,2024-04-19,Microbiological Analysis,Moderate,Low,Investigation Launched
21,Wine,BrandE,Beverages,Coloring agents,2024-04-19,Spectroscopy,Moderate,Medium,Fine Imposed
22,Cheese,BrandA,Dairy,Melamine,2024-03-18,Microbiological Analysis,Moderate,High,Fine Imposed
23,Wine,BrandD,Beverages,Coloring agents,2024-02-05,Spectroscopy,Severe,Low,Product Recall
24,Milk,BrandE,Dairy,Melamine,2024-03-17,Sensory Evaluation,Minor,Medium,Warning Issued
25,Juice,BrandC,Beverages,Coloring agents,2024-02-26,Chemical Analysis,Moderate,High,Investigation Launched
26,Honey,BrandE,Condiments,Chalk,2024-06-14,Chemical Analysis,Severe,High,Warning Issued
27,Chicken,BrandE,Meat,Coloring agents,2024-03-20,Spectroscopy,Minor,Low,Warning Issued
28,Cheese,BrandC,Dairy,Chalk,2024-03-25,Sensory Evaluation,Moderate,Medium,Investigation Launched
29,Beef,BrandC,Meat,Melamine,2024-05-19,Spectroscopy,Moderate,High,Product Recall
30,Beef,BrandE,Meat,Melamine,2024-05-30,Spectroscopy,Moderate,Medium,Product Recall
31,Chicken,BrandA,Meat,Water,2024-01-02,Microbiological Analysis,Minor,Medium,Fine Imposed
32,Honey,BrandB,Condiments,Melamine,2024-06-16,Spectroscopy,Moderate,High,Fine Imposed
33,Yogurt,BrandE,Dairy,Chalk,2024-06-02,Microbiological Analysis,Moderate,Medium,Investigation Launched
34,Honey,BrandD,Condiments,Water,2024-06-05,Spectroscopy,Severe,High,Fine Imposed
35,Juice,BrandE,Beverages,Water,2024-06-09,Spectroscopy,Moderate,Low,Product Recall
36,Honey,BrandE,Condiments,Melamine,2024-01-31,Microbiological Analysis,Severe,Medium,Warning Issued
37,Yogurt,BrandA,Dairy,Water,2024-02-19,Microbiological Analysis,Moderate,High,Investigation Launched
38,Honey,BrandA,Condiments,Artificial sweeteners,2024-05-03,Spectroscopy,Severe,Low,Warning Issued
39,Cheese,BrandD,Dairy,Coloring agents,2024-01-20,Spectroscopy,Minor,High,Product Recall
40,Yogurt,BrandC,Dairy,Melamine,2024-05-15,Microbiological Analysis,Minor,Medium,Fine Imposed
41,Juice,BrandD,Beverages,Chalk,2024-06-09,Chemical Analysis,Minor,High,Product Recall
42,Milk,BrandD,Dairy,Artificial sweeteners,2024-04-09,Microbiological Analysis,Severe,Low,Investigation Launched
43,Bread,BrandC,Bakery,Melamine,2024-03-29,Sensory Evaluation,Minor,High,Fine Imposed
44,Milk,BrandA,Dairy,Melamine,2024-05-02,Spectroscopy,Severe,High,Product Recall
45,Cheese,BrandC,Dairy,Melamine,2024-02-25,Chemical Analysis,Severe,Medium,Fine Imposed
46,Beef,BrandC,Meat,Melamine,2024-01-13,Sensory Evaluation,Minor,Low,Investigation Launched
47,Milk,BrandA,Dairy,Water,2024-06-17,Sensory Evaluation,Moderate,High,Warning Issued
48,Milk,BrandB,Dairy,Chalk,2024-03-12,Microbiological Analysis,Minor,Low,Investigation Launched
49,Juice,BrandB,Beverages,Coloring agents,2024-03-01,Chemical Analysis,Moderate,Medium,Product Recall
50,Butter,BrandE,Dairy,Chalk,2024-06-23,Chemical Analysis,Minor,Low,Product Recall
51,Yogurt,BrandA,Dairy,Artificial sweeteners,2024-06-08,Microbiological Analysis,Minor,Medium,Warning Issued
52,Yogurt,BrandC,Dairy,Melamine,2024-02-12,Spectroscopy,Severe,Medium,Warning Issued
53,Cheese,BrandB,Dairy,Coloring agents,2024-06-02,Spectroscopy,Moderate,High,Investigation Launched
54,Chicken,BrandE,Meat,Melamine,2024-03-17,Spectroscopy,Severe,Low,Fine Imposed
55,Yogurt,BrandA,Dairy,Coloring agents,2024-05-24,Microbiological Analysis,Minor,Low,Product Recall
56,Milk,BrandD,Dairy,Artificial sweeteners,2024-01-16,Sensory Evaluation,Minor,Low,Product Recall
57,Wine,BrandA,Beverages,Water,2024-05-21,Sensory Evaluation,Moderate,Medium,Warning Issued
58,Butter,BrandA,Dairy,Melamine,2024-06-02,Chemical Analysis,Moderate,Medium,Warning Issued
59,Wine,BrandA,Beverages,Chalk,2024-02-06,Spectroscopy,Moderate,Low,Warning Issued
60,Bread,BrandD,Bakery,Chalk,2024-03-26,Sensory Evaluation,Moderate,Medium,Investigation Launched
61,Yogurt,BrandA,Dairy,Coloring agents,2024-05-24,Sensory Evaluation,Minor,Medium,Investigation Launched
62,Butter,BrandB,Dairy,Chalk,2024-06-07,Microbiological Analysis,Minor,High,Fine Imposed
63,Milk,BrandC,Dairy,Melamine,2024-05-27,Microbiological Analysis,Minor,Medium,Investigation Launched
64,Butter,BrandD,Dairy,Water,2024-05-07,Spectroscopy,Minor,Low,Investigation Launched
65,Honey,BrandE,Condiments,Chalk,2024-01-12,Microbiological Analysis,Minor,Medium,Warning Issued
66,Chicken,BrandD,Meat,Artificial sweeteners,2024-01-08,Spectroscopy,Minor,Medium,Warning Issued
67,Wine,BrandE,Beverages,Coloring agents,2024-01-27,Spectroscopy,Minor,Low,Fine Imposed
68,Cheese,BrandC,Dairy,Coloring agents,2024-01-31,Sensory Evaluation,Moderate,Low,Investigation Launched
69,Juice,BrandD,Beverages,Chalk,2024-05-01,Chemical Analysis,Minor,Low,Product Recall
70,Chicken,BrandE,Meat,Artificial sweeteners,2024-03-20,Microbiological Analysis,Moderate,Medium,Investigation Launched
71,Chicken,BrandB,Meat,Coloring agents,2024-01-17,Microbiological Analysis,Severe,Low,Fine Imposed
72,Yogurt,BrandD,Dairy,Artificial sweeteners,2024-05-23,Microbiological Analysis,Moderate,High,Warning Issued
73,Wine,BrandD,Beverages,Water,2024-06-01,Spectroscopy,Minor,Low,Fine Imposed
74,Juice,BrandE,Beverages,Artificial sweeteners,2024-05-21,Sensory Evaluation,Severe,High,Product Recall
75,Bread,BrandC,Bakery,Water,2024-05-06,Sensory Evaluation,Severe,Low,Investigation Launched
76,Honey,BrandA,Condiments,Melamine,2024-04-11,Sensory Evaluation,Minor,High,Warning Issued
77,Bread,BrandE,Bakery,Chalk,2024-05-28,Spectroscopy,Severe,High,Fine Imposed
78,Cheese,BrandC,Dairy,Water,2024-03-03,Sensory Evaluation,Minor,Medium,Product Recall
79,Cheese,BrandC,Dairy,Chalk,2024-04-24,Sensory Evaluation,Severe,High,Product Recall
80,Juice,BrandB,Beverages,Coloring agents,2024-05-30,Microbiological Analysis,Moderate,High,Product Recall
81,Bread,BrandC,Bakery,Chalk,2024-01-10,Spectroscopy,Minor,High,Fine Imposed
82,Yogurt,BrandE,Dairy,Water,2024-01-14,Spectroscopy,Minor,Medium,Warning Issued
83,Milk,BrandC,Dairy,Artificial sweeteners,2024-04-26,Chemical Analysis,Moderate,High,Product Recall
84,Chicken,BrandC,Meat,Chalk,2024-03-07,Sensory Evaluation,Moderate,Medium,Product Recall
85,Bread,BrandD,Bakery,Artificial sweeteners,2024-04-30,Chemical Analysis,Moderate,Medium,Investigation Launched
86,Chicken,BrandB,Meat,Coloring agents,2024-06-05,Spectroscopy,Minor,High,Investigation Launched
87,Bread,BrandC,Bakery,Melamine,2024-05-27,Microbiological Analysis,Minor,High,Fine Imposed
88,Honey,BrandC,Condiments,Artificial sweeteners,2024-03-30,Spectroscopy,Severe,Medium,Investigation Launched
89,Cheese,BrandD,Dairy,Melamine,2024-02-26,Sensory Evaluation,Minor,Medium,Fine Imposed
90,Juice,BrandE,Beverages,Chalk,2024-02-25,Microbiological Analysis,Severe,High,Investigation Launched
91,Chicken,BrandB,Meat,Chalk,2024-02-10,Spectroscopy,Minor,Medium,Warning Issued
92,Bread,BrandA,Bakery,Artificial sweeteners,2024-02-06,Spectroscopy,Minor,Medium,Product Recall
93,Yogurt,BrandC,Dairy,Artificial sweeteners,2024-02-07,Chemical Analysis,Minor,Low,Investigation Launched
94,Juice,BrandC,Beverages,Water,2024-03-18,Microbiological Analysis,Minor,High,Investigation Launched
95,Butter,BrandD,Dairy,Melamine,2024-06-03,Chemical Analysis,Severe,Medium,Product Recall
96,Butter,BrandE,Dairy,Coloring agents,2024-01-12,Microbiological Analysis,Moderate,Low,Investigation Launched
97,Wine,BrandE,Beverages,Artificial sweeteners,2024-03-02,Chemical Analysis,Minor,High,Warning Issued
98,Beef,BrandB,Meat,Chalk,2024-05-01,Chemical Analysis,Moderate,Medium,Fine Imposed
99,Juice,BrandD,Beverages,Artificial sweeteners,2024-05-08,Sensory Evaluation,Minor,High,Product Recall
100,Milk,BrandB,Dairy,Artificial sweeteners,2024-01-29,Chemical Analysis,Severe,Medium,Warning Issued
101,Milk,BrandD,Dairy,Water,2024-01-30,Sensory Evaluation,Severe,High,Investigation Launched
102,Juice,BrandC,Beverages,Chalk,2024-05-01,Chemical Analysis,Severe,Medium,Investigation Launched
103,Butter,BrandB,Dairy,Water,2024-06-01,Spectroscopy,Moderate,High,Warning Issued
104,Bread,BrandA,Bakery,Artificial sweeteners,2024-01-12,Microbiological Analysis,Severe,Medium,Investigation Launched
105,Milk,BrandA,Dairy,Water,2024-05-13,Sensory Evaluation,Severe,Medium,Warning Issued
106,Milk,BrandD,Dairy,Artificial sweeteners,2024-01-10,Microbiological Analysis,Minor,Medium,Warning Issued
107,Wine,BrandB,Beverages,Melamine,2024-05-09,Spectroscopy,Severe,Low,Investigation Launched
108,Cheese,BrandD,Dairy,Melamine,2024-05-29,Microbiological Analysis,Minor,Low,Investigation Launched
109,Wine,BrandC,Beverages,Artificial sweeteners,2024-06-07,Spectroscopy,Minor,Medium,Investigation Launched
110,Butter,BrandC,Dairy,Water,2024-03-13,Microbiological Analysis,Severe,High,Product Recall
111,Chicken,BrandD,Meat,Coloring agents,2024-01-16,Sensory Evaluation,Moderate,Low,Product Recall
112,Yogurt,BrandC,Dairy,Coloring agents,2024-01-27,Chemical Analysis,Severe,Medium,Warning Issued
113,Beef,BrandC,Meat,Melamine,2024-01-05,Microbiological Analysis,Severe,High,Investigation Launched
114,Cheese,BrandE,Dairy,Chalk,2024-04-16,Sensory Evaluation,Moderate,High,Warning Issued
115,Butter,BrandC,Dairy,Water,2024-05-26,Chemical Analysis,Severe,Low,Warning Issued
116,Cheese,BrandC,Dairy,Coloring agents,2024-01-15,Microbiological Analysis,Severe,Low,Fine Imposed
117,Wine,BrandA,Beverages,Water,2024-02-15,Microbiological Analysis,Minor,Low,Warning Issued
118,Chicken,BrandB,Meat,Water,2024-05-02,Microbiological Analysis,Minor,Medium,Fine Imposed
119,Butter,BrandE,Dairy,Melamine,2024-04-23,Microbiological Analysis,Minor,Low,Product Recall
120,Juice,BrandC,Beverages,Water,2024-05-07,Spectroscopy,Minor,Low,Investigation Launched
121,Chicken,BrandB,Meat,Melamine,2024-03-05,Chemical Analysis,Moderate,Medium,Product Recall
122,Wine,BrandD,Beverages,Coloring agents,2024-05-19,Microbiological Analysis,Severe,High,Investigation Launched
123,Butter,BrandE,Dairy,Chalk,2024-02-25,Microbiological Analysis,Moderate,High,Investigation Launched
124,Juice,BrandC,Beverages,Artificial sweeteners,2024-05-07,Spectroscopy,Minor,High,Warning Issued
125,Wine,BrandC,Beverages,Melamine,2024-05-11,Spectroscopy,Severe,Low,Fine Imposed
126,Beef,BrandC,Meat,Water,2024-06-06,Spectroscopy,Severe,High,Warning Issued
127,Juice,BrandC,Beverages,Coloring agents,2024-02-12,Microbiological Analysis,Moderate,Low,Product Recall
128,Yogurt,BrandD,Dairy,Melamine,2024-01-10,Spectroscopy,Moderate,High,Warning Issued
129,Juice,BrandB,Beverages,Chalk,2024-03-08,Spectroscopy,Severe,High,Warning Issued
130,Bread,BrandB,Bakery,Melamine,2024-02-25,Microbiological Analysis,Moderate,High,Product Recall
131,Beef,BrandC,Meat,Melamine,2024-04-27,Microbiological Analysis,Severe,Low,Warning Issued
132,Beef,BrandD,Meat,Coloring agents,2024-06-03,Spectroscopy,Severe,Low,Product Recall
133,Juice,BrandC,Beverages,Coloring agents,2024-05-14,Microbiological Analysis,Moderate,Medium,Product Recall
134,Bread,BrandE,Bakery,Melamine,2024-01-03,Chemical Analysis,Moderate,Low,Warning Issued
135,Beef,BrandD,Meat,Melamine,2024-05-02,Spectroscopy,Severe,Medium,Product Recall
136,Beef,BrandD,Meat,Water,2024-01-17,Spectroscopy,Minor,High,Investigation Launched
137,Butter,BrandA,Dairy,Water,2024-01-14,Sensory Evaluation,Minor,Medium,Product Recall
138,Milk,BrandA,Dairy,Melamine,2024-06-15,Chemical Analysis,Minor,Medium,Investigation Launched
139,Cheese,BrandD,Dairy,Coloring agents,2024-01-06,Sensory Evaluation,Minor,Medium,Product Recall
140,Honey,BrandB,Condiments,Coloring agents,2024-01-24,Chemical Analysis,Minor,Low,Product Recall
141,Cheese,BrandE,Dairy,Chalk,2024-03-08,Spectroscopy,Minor,High,Product Recall
142,Honey,BrandA,Condiments,Melamine,2024-02-22,Chemical Analysis,Moderate,High,Warning Issued
143,Butter,BrandA,Dairy,Coloring agents,2024-06-06,Sensory Evaluation,Minor,High,Fine Imposed
144,Chicken,BrandB,Meat,Melamine,2024-06-11,Spectroscopy,Moderate,Low,Investigation Launched
145,Juice,BrandB,Beverages,Coloring agents,2024-03-26,Chemical Analysis,Moderate,Medium,Warning Issued
146,Bread,BrandD,Bakery,Artificial sweeteners,2024-05-15,Spectroscopy,Severe,Low,Fine Imposed
147,Yogurt,BrandC,Dairy,Water,2024-05-11,Chemical Analysis,Moderate,Low,Product Recall
148,Juice,BrandD,Beverages,Artificial sweeteners,2024-04-29,Microbiological Analysis,Minor,High,Product Recall
149,Chicken,BrandE,Meat,Artificial sweeteners,2024-02-10,Sensory Evaluation,Minor,High,Fine Imposed
150,Milk,BrandC,Dairy,Coloring agents,2024-04-12,Chemical Analysis,Minor,Low,Product Recall
151,Cheese,BrandB,Dairy,Melamine,2024-01-31,Chemical Analysis,Moderate,Medium,Investigation Launched
152,Honey,BrandB,Condiments,Chalk,2024-04-29,Microbiological Analysis,Severe,High,Investigation Launched
153,Bread,BrandD,Bakery,Chalk,2024-01-28,Spectroscopy,Severe,High,Fine Imposed
154,Beef,BrandD,Meat,Water,2024-03-30,Microbiological Analysis,Moderate,High,Fine Imposed
155,Chicken,BrandA,Meat,Artificial sweeteners,2024-06-16,Spectroscopy,Moderate,High,Fine Imposed
156,Chicken,BrandB,Meat,Chalk,2024-05-28,Chemical Analysis,Minor,Medium,Product Recall
157,Chicken,BrandD,Meat,Artificial sweeteners,2024-06-26,Chemical Analysis,Moderate,Low,Warning Issued
158,Bread,BrandC,Bakery,Artificial sweeteners,2024-05-09,Microbiological Analysis,Severe,Low,Investigation Launched
159,Butter,BrandC,Dairy,Chalk,2024-03-15,Microbiological Analysis,Moderate,Low,Product Recall
160,Honey,BrandD,Condiments,Melamine,2024-05-09,Spectroscopy,Moderate,Low,Investigation Launched
161,Milk,BrandD,Dairy,Melamine,2024-03-22,Sensory Evaluation,Moderate,High,Product Recall
162,Wine,BrandD,Beverages,Coloring agents,2024-06-29,Chemical Analysis,Severe,Low,Product Recall
163,Bread,BrandE,Bakery,Melamine,2024-03-10,Microbiological Analysis,Minor,High,Fine Imposed
164,Honey,BrandD,Condiments,Chalk,2024-01-27,Sensory Evaluation,Severe,Low,Warning Issued
165,Juice,BrandD,Beverages,Coloring agents,2024-05-20,Spectroscopy,Minor,High,Fine Imposed
166,Juice,BrandC,Beverages,Artificial sweeteners,2024-01-14,Chemical Analysis,Moderate,Low,Warning Issued
167,Butter,BrandD,Dairy,Water,2024-02-16,Spectroscopy,Severe,Medium,Investigation Launched
168,Bread,BrandA,Bakery,Coloring agents,2024-04-24,Spectroscopy,Moderate,Medium,Investigation Launched
169,Wine,BrandE,Beverages,Melamine,2024-03-26,Microbiological Analysis,Minor,Medium,Warning Issued
170,Yogurt,BrandA,Dairy,Water,2024-06-14,Sensory Evaluation,Severe,Low,Product Recall
171,Milk,BrandB,Dairy,Chalk,2024-04-16,Sensory Evaluation,Minor,Medium,Investigation Launched
172,Beef,BrandC,Meat,Coloring agents,2024-02-05,Chemical Analysis,Moderate,High,Investigation Launched
173,Bread,BrandD,Bakery,Water,2024-02-01,Spectroscopy,Severe,Low,Warning Issued
174,Chicken,BrandD,Meat,Melamine,2024-06-21,Spectroscopy,Minor,High,Warning Issued
175,Bread,BrandE,Bakery,Melamine,2024-01-29,Sensory Evaluation,Severe,High,Warning Issued
176,Chicken,BrandA,Meat,Coloring agents,2024-01-20,Chemical Analysis,Severe,Low,Warning Issued
177,Bread,BrandA,Bakery,Chalk,2024-03-28,Sensory Evaluation,Moderate,Low,Investigation Launched
178,Cheese,BrandD,Dairy,Chalk,2024-03-26,Chemical Analysis,Minor,Low,Fine Imposed
179,Yogurt,BrandE,Dairy,Water,2024-03-26,Sensory Evaluation,Moderate,Low,Product Recall
180,Juice,BrandA,Beverages,Artificial sweeteners,2024-02-16,Sensory Evaluation,Moderate,Low,Investigation Launched
181,Wine,BrandB,Beverages,Artificial sweeteners,2024-02-12,Chemical Analysis,Severe,Medium,Fine Imposed
182,Juice,BrandE,Beverages,Water,2024-05-28,Microbiological Analysis,Minor,Low,Fine Imposed
183,Honey,BrandE,Condiments,Water,2024-03-04,Microbiological Analysis,Severe,Medium,Product Recall
184,Beef,BrandA,Meat,Chalk,2024-06-13,Spectroscopy,Moderate,Low,Product Recall
185,Beef,BrandC,Meat,Chalk,2024-03-20,Chemical Analysis,Minor,High,Fine Imposed
186,Milk,BrandA,Dairy,Chalk,2024-02-10,Microbiological Analysis,Minor,High,Investigation Launched
187,Chicken,BrandB,Meat,Chalk,2024-05-15,Spectroscopy,Minor,Medium,Product Recall
188,Cheese,BrandA,Dairy,Melamine,2024-06-13,Chemical Analysis,Moderate,Low,Investigation Launched
189,Butter,BrandA,Dairy,Water,2024-05-05,Spectroscopy,Moderate,Low,Warning Issued
190,Juice,BrandD,Beverages,Chalk,2024-02-27,Spectroscopy,Severe,Low,Warning Issued
191,Bread,BrandE,Bakery,Artificial sweeteners,2024-01-18,Spectroscopy,Moderate,Medium,Investigation Launched
192,Milk,BrandC,Dairy,Water,2024-06-10,Spectroscopy,Moderate,Medium,Warning Issued
193,Juice,BrandA,Beverages,Artificial sweeteners,2024-04-08,Microbiological Analysis,Moderate,Medium,Fine Imposed
194,Bread,BrandC,Bakery,Water,2024-05-13,Sensory Evaluation,Severe,Medium,Investigation Launched
195,Juice,BrandC,Beverages,Coloring agents,2024-03-25,Sensory Evaluation,Minor,Medium,Fine Imposed
196,Honey,BrandE,Condiments,Chalk,2024-04-09,Chemical Analysis,Minor,Medium,Warning Issued
197,Cheese,BrandC,Dairy,Coloring agents,2024-04-29,Sensory Evaluation,Moderate,Medium,Product Recall
198,Wine,BrandC,Beverages,Water,2024-06-13,Chemical Analysis,Severe,High,Warning Issued
199,Juice,BrandD,Beverages,Chalk,2024-02-02,Sensory Evaluation,Minor,High,Product Recall
200,Juice,BrandB,Beverages,Artificial sweeteners,2024-06-19,Spectroscopy,Minor,High,Investigation Launched
201,Chicken,BrandB,Meat,Water,2024-04-10,Chemical Analysis,Minor,Medium,Fine Imposed
202,Beef,BrandA,Meat,Coloring agents,2024-04-01,Chemical Analysis,Minor,High,Product Recall
203,Juice,BrandC,Beverages,Water,2024-06-15,Chemical Analysis,Minor,Medium,Warning Issued
204,Chicken,BrandB,Meat,Coloring agents,2024-04-04,Chemical Analysis,Minor,Medium,Fine Imposed
205,Chicken,BrandB,Meat,Water,2024-06-05,Microbiological Analysis,Moderate,Low,Fine Imposed
206,Beef,BrandA,Meat,Coloring agents,2024-04-21,Spectroscopy,Minor,Low,Fine Imposed
207,Butter,BrandC,Dairy,Artificial sweeteners,2024-06-09,Chemical Analysis,Moderate,Medium,Fine Imposed
208,Honey,BrandA,Condiments,Chalk,2024-06-25,Chemical Analysis,Moderate,Low,Fine Imposed
209,Juice,BrandA,Beverages,Melamine,2024-02-21,Chemical Analysis,Minor,High,Fine Imposed
210,Juice,BrandC,Beverages,Artificial sweeteners,2024-03-24,Spectroscopy,Severe,Medium,Fine Imposed
211,Honey,BrandB,Condiments,Chalk,2024-06-08,Sensory Evaluation,Minor,High,Investigation Launched
212,Yogurt,BrandA,Dairy,Chalk,2024-05-13,Sensory Evaluation,Severe,High,Product Recall
213,Juice,BrandB,Beverages,Coloring agents,2024-04-04,Chemical Analysis,Minor,High,Investigation Launched
214,Juice,BrandC,Beverages,Chalk,2024-06-28,Chemical Analysis,Moderate,High,Investigation Launched
215,Milk,BrandE,Dairy,Chalk,2024-06-02,Sensory Evaluation,Moderate,High,Fine Imposed
216,Chicken,BrandD,Meat,Melamine,2024-06-05,Chemical Analysis,Severe,High,Investigation Launched
217,Yogurt,BrandA,Dairy,Chalk,2024-02-21,Sensory Evaluation,Severe,Low,Fine Imposed
218,Yogurt,BrandE,Dairy,Artificial sweeteners,2024-03-15,Chemical Analysis,Severe,Medium,Product Recall
219,Chicken,BrandB,Meat,Coloring agents,2024-04-15,Spectroscopy,Severe,High,Fine Imposed
220,Juice,BrandD,Beverages,Artificial sweeteners,2024-05-03,Spectroscopy,Minor,Low,Product Recall
221,Honey,BrandD,Condiments,Water,2024-02-26,Chemical Analysis,Severe,Medium,Investigation Launched
222,Chicken,BrandC,Meat,Artificial sweeteners,2024-04-08,Chemical Analysis,Minor,Low,Fine Imposed
223,Butter,BrandC,Dairy,Coloring agents,2024-05-30,Microbiological Analysis,Moderate,Medium,Product Recall
224,Milk,BrandD,Dairy,Water,2024-06-18,Sensory Evaluation,Minor,Low,Fine Imposed
225,Beef,BrandC,Meat,Coloring agents,2024-02-04,Spectroscopy,Moderate,High,Fine Imposed
226,Milk,BrandB,Dairy,Water,2024-05-30,Sensory Evaluation,Minor,High,Product Recall
227,Butter,BrandB,Dairy,Water,2024-05-22,Spectroscopy,Moderate,Medium,Fine Imposed
228,Bread,BrandD,Bakery,Coloring agents,2024-05-08,Microbiological Analysis,Minor,High,Investigation Launched
229,Beef,BrandE,Meat,Coloring agents,2024-04-27,Chemical Analysis,Moderate,Medium,Warning Issued
230,Juice,BrandA,Beverages,Chalk,2024-01-06,Microbiological Analysis,Minor,Medium,Investigation Launched
231,Juice,BrandD,Beverages,Water,2024-04-13,Microbiological Analysis,Moderate,High,Fine Imposed
232,Juice,BrandB,Beverages,Coloring agents,2024-05-14,Spectroscopy,Minor,Low,Investigation Launched
233,Juice,BrandE,Beverages,Melamine,2024-01-18,Chemical Analysis,Minor,Low,Product Recall
234,Yogurt,BrandE,Dairy,Artificial sweeteners,2024-02-10,Sensory Evaluation,Severe,Low,Fine Imposed
235,Wine,BrandD,Beverages,Coloring agents,2024-03-07,Chemical Analysis,Minor,Low,Investigation Launched
236,Wine,BrandA,Beverages,Artificial sweeteners,2024-01-15,Sensory Evaluation,Severe,High,Fine Imposed
237,Cheese,BrandA,Dairy,Coloring agents,2024-05-04,Chemical Analysis,Severe,Low,Investigation Launched
238,Cheese,BrandE,Dairy,Melamine,2024-05-10,Microbiological Analysis,Severe,High,Fine Imposed
239,Chicken,BrandC,Meat,Coloring agents,2024-06-10,Spectroscopy,Minor,Medium,Fine Imposed
240,Milk,BrandD,Dairy,Melamine,2024-02-17,Sensory Evaluation,Moderate,Medium,Fine Imposed
241,Butter,BrandE,Dairy,Artificial sweeteners,2024-03-23,Microbiological Analysis,Severe,High,Fine Imposed
242,Juice,BrandC,Beverages,Coloring agents,2024-06-06,Microbiological Analysis,Minor,High,Warning Issued
243,Chicken,BrandD,Meat,Coloring agents,2024-06-15,Microbiological Analysis,Severe,High,Investigation Launched
244,Honey,BrandD,Condiments,Artificial sweeteners,2024-05-04,Microbiological Analysis,Severe,Low,Warning Issued
245,Juice,BrandC,Beverages,Artificial sweeteners,2024-02-29,Microbiological Analysis,Moderate,Low,Investigation Launched
246,Cheese,BrandA,Dairy,Melamine,2024-05-26,Chemical Analysis,Minor,Low,Product Recall
247,Juice,BrandB,Beverages,Coloring agents,2024-06-06,Chemical Analysis,Moderate,Low,Warning Issued
248,Yogurt,BrandC,Dairy,Melamine,2024-05-03,Spectroscopy,Minor,High,Warning Issued
249,Cheese,BrandB,Dairy,Coloring agents,2024-01-24,Microbiological Analysis,Minor,Low,Fine Imposed
